Player,Rating,Goals+Assist,Salaries
Rodri,8.12,,13764697
Bukayo Saka,7.97,,12200527
Phil Foden,7.83,,14077531
Bruno Fernandes,7.83,,15016033
Cole Palmer,7.78,,5005344
Michael Olise,7.71,,6256681
Declan Rice,7.66,,15016033
Bruno Guimaraes,7.65,,Not Found
Erling Haaland,7.64,,23462552
Mohamed Salah,7.64,,21898382
Martin Ødegaard,7.64,,15016033
Eberechi Eze,7.60,,6256681
James Maddison,7.59,,10636357
Bernardo Silva,7.57,,18770042
Trent Alexander-Arnold,7.57,,11262025
Josko Gvardiol,7.53,,12513361
Anthony Gordon,7.51,,3754008
Alexis Mac Allister,7.51,,9385021
Conor Gallagher,7.50,,3128340
Heung-Min Son,7.5,,Not Found
Andrew Robertson,7.48,,10010689
Julián Álvarez,7.47,,6256681
Pascal Gross,7.47,,Not Found
Ollie Watkins,7.40,,8133685
Mohammed Kudus,7.39,,5631013
Virgil van Dijk,7.39,,13764697
Pedro Porro,7.38,,5318178
James Ward-Prowse,7.37,,7195183
Alexander Isak,7.37,,7508017
Kyle Walker,7.36,,10949191
Kieran Trippier,7.35,,7508017
Cristian Romero,7.32,,10323523
Ross Barkley,7.32,,1877004
Jérémy Doku,7.32,,3128340
Manuel Akanji,7.31,,11262025
Lucas Paquetá,7.31,,9385021
Luis Diaz,7.31,,Not Found
Pedro Neto,7.30,,3128340
Kai Havertz,7.30,,17518706
Matheus Cunha,7.29,,3754008
Dominik Szoboszlai,7.28,,7508017
Ben White,7.28,,9385021
Douglas Luiz,7.28,,4692510
Nathan Aké,7.27,,10010689
William Saliba,7.27,,11887693
Christian Nørgaard,7.26,,2189838
Diogo Jota,7.25,,8759353
Jarrod Bowen,7.25,,9385021
Morgan Gibbs-White,7.24,,5005344
Idrissa Gana Gueye,7.24,,Not Found
Bryan Mbeumo,7.23,,2815506
Kaoru Mitoma,7.23,,5005344
Gabriel,7.22,,16580203
Oleksandr Zinchenko,7.22,,9385021
Diogo Dalot,7.20,,5318178
Marcos Senesi,7.20,,3128340
John McGinn,7.19,,7508017
Mario Lemina,7.18,,2815506
Harry Maguire,7.18,,11887693
Nicolas Jackson,7.18,,4066842
Antonee Robinson,7.17,,3128340
Alfie Doughty,7.16,,469251
Ibrahima Konaté,7.16,,4379676
Casemiro,7.16,,21898382
Dwight McNeil,7.16,,1564170
Darwin Nunez,7.16,,Not Found
Jefferson Lerma,7.15,,4379676
Joao Palhinha,7.15,,Not Found
James Garner,7.15,,1877004
Leon Bailey,7.14,,7508017
Ruben Dias,7.14,,Not Found
Josh Cullen,7.13,,2502672
Malo Gusto,7.13,,2815506
James Tarkowski,7.13,,6256681
Jarrad Branthwaite,7.12,,2189838
Dejan Kulusevski,7.12,,6882349
Micky van de Ven,7.12,,3128340
Sergio Reguilon,7.12,,Not Found
Chiedozie Ogbene,7.10,,938502
Levi Colwill,7.10,,6256681
Lewis Cook,7.10,,2502672
Noni Madueke,7.10,,3128340
Gabriel Martinelli,7.09,,11262025
Alejandro Garnacho,7.09,,3128340
Destiny Udogie,7.09,,4692510
Mateo Kovacic,7.09,,9385021
Simon Adingra,7.09,,782085
Pape Sarr,7.08,,4379676
Brennan Johnson,7.08,,4379676
Marcus Tavernier,7.08,,2189838
Vitaly Janelt,7.08,,1877004
Ryan Christie,7.08,,4379676
Yoane Wissa,7.07,,1564170
Tyrick Mitchell,7.07,,2502672
Willy Boly,7.07,,2502672
Vitalii Mykolenko,7.06,,Not Found
Alex Iwobi,7.06,,5005344
Yves Bissouma,7.06,,3441174
Boubacar Kamara,7.06,,9385021
Joao Pedro,7.06,,Not Found
Dominic Solanke,7.05,,4379676
Harvey Elliott,7.05,,2502672
Jan Paul van Hecke,7.05,,1877004
Moisés Caicedo,7.05,,9385021
Callum Hudson-Odoi,7.04,,5005344
Amadou Onana,7.04,,6256681
Aaron Wan-Bissaka,7.03,,5631013
Cody Gakpo,7.03,,7508017
Joachim Andersen,7.03,,5005344
Hee-Chan Hwang,7.02,,Not Found
Gustavo Hamer,7.01,,1877004
Thiago Silva,7.01,,6882349
Abdoulaye Doucouré,7.01,,8133685
Leandro Trossard,7.01,,5631013
Jordan Ayew,7.00,,1564170
Gabriel Jesus,7.00,,16580203
Joao Gomes,6.99,,Not Found
Enzo Fernández,6.99,,11262025
Willian,6.99,,5631013
Richarlison,6.99,,5631013
Joelinton,6.99,,9385021
Sean Longstaff,6.98,,3128340
Youri Tielemans,6.98,,9385021
Joseph Gomez,6.98,,Not Found
Marcus Rashford,6.98,,18770042
Pablo Sarabia,6.98,,5631013
Marc Cucurella,6.97,,10949191
Raheem Sterling,6.97,,20334212
Rayan Ait Nouri,6.97,,Not Found
Josh Brownhill,6.97,,2815506
Wataru Endo,6.96,,3128340
Mathias Jensen,6.95,,3128340
Kobbie Mainoo,6.95,,1251336
Jean-Philippe Mateta,6.95,,3128340
Tomas Soucek,6.95,,5631013
Emerson,6.94,,5943847
Guglielmo Vicario,6.94,,4692510
Mykhaylo Mudryk,6.94,,Not Found
Alphonse Areola,6.94,,7508017
Jordan Pickford,6.94,,7820851
Nicolás Dominguez,6.93,,Not Found
Ederson Moraes,6.93,,Not Found
Nélson Semedo,6.93,,5005344
Ethan Pinnock,6.93,,1877004
Pau Torres,6.93,,6256681
Lewis Dunk,6.91,,5005344
Chris Wood,6.91,,5005344
Luis Sinisterra,6.91,,4066842
Ola Aina,6.91,,2502672
Daniel Burn,6.90,,Not Found
Emiliano Martinez,6.90,,Not Found
Max Kilman,6.90,,3128340
Toti Gomes,6.90,,1564170
Andreas Pereira,6.89,,3128340
Igor,6.89,,2815506
Moussa Diaby,6.89,,8133685
Anthony Elanga,6.89,,1564170
David Raya,6.88,,5318178
Tom Cairney,6.88,,1877004
Antoine Semenyo,6.88,,1251336
Sander Berge,6.88,,2502672
Scott McTominay,6.88,,3754008
Craig Dawson,6.87,,2815506
Timothy Castagne,6.86,,4066842
Andre Onana,6.86,,Not Found
Wilson Odobert,6.86,,625668
Lucas Digne,6.86,,7508017
Jonny Evans,6.85,,4066842
Neco Williams,6.85,,3128340
Fabian Schär,6.85,,2815506
Jack Harrison,6.85,,5631013
Ezri Konsa,6.85,,4692510
Miguel Almiron,6.84,,Not Found
Chris Richards,6.84,,3441174
Axel Disasi,6.84,,5005344
Rodrigo Muniz,6.84,,469251
Antony,6.84,,12513361
Rasmus Højlund,6.83,,5318178
Takehiro Tomiyasu,6.83,,6256681
Edson Álvarez,6.83,,6256681
Danilo,6.82,,1877004
Vinicius de Souza Costa,6.82,,Not Found
Ryan Gravenberch,6.81,,9385021
Oliver Norwood,6.81,,1251336
Harry Wilson,6.80,,2189838
Dominic Calvert-Lewin,6.80,,6256681
Marc Guehi,6.79,,Not Found
Dango Ouattara,6.79,,2189838
Harvey Barnes,6.79,,5005344
Oliver McBurnie,6.7,,1564170
Calvin Bassey,6.79,,2815506
Murillo,6.78,,1877004
Will Hughes,6.78,,3128340
Danny Welbeck,6.77,,3754008
Carlton Morris,6.77,,625668
Matty Cash,6.77,,5005344
Raphaël Varane,6.76,,21272714
Billy Gilmour,6.75,,1251336
Odsonne Edouard,6.75,,5631013
Issa Kaboré,6.74,,Not Found
Djordje Petrovic,6.73,,1564170
Vladimir Coufal,6.73,,2189838
José Sá,6.73,,2502672
Joel Veltman,6.72,,Not Found
Valentino Livramento,6.72,,Not Found
Adam Smith,6.71,,2189838
Frank Onyeka,6.71,,2502672
Alisson Becker,6.70,,Not Found
Jeffrey Schlupp,6.70,,3754008
Justin Kluivert,6.70,,5005344
Reece Burke,6.70,,782085
Kristoffer Vassbakk Ajer,6.69,,Not Found
Nathan Collins,6.69,,1877004
Dara O'Shea,6.68,,Not Found
Jacob Bruun Larsen,6.68,,2189838
Edward Nketiah,6.67,,Not Found
Raul Jiménez,6.67,,Not Found
Neto,6.67,,3128340
Ashley Young,6.67,,2502672
Lloyd Kelly,6.67,,1877004
Thomas Doyle,6.67,,Not Found
Illia Zabarnyi,6.67,,Not Found
Johann Berg Gudmundsson,6.67,,Not Found
Mikkel Damsgaard,6.66,,1877004
James Trafford,6.66,,1564170
Christian Eriksen,6.65,,9385021
Alex Scott,6.65,,2502672
Philip Billing,6.65,,2815506
Ryan Yates,6.64,,1564170
Orel Mangala,6.64,,1877004
Harry Toffolo,6.63,,2189838
Keane Lewis-Potter,6.63,,2189838
Lyle Foster,6.63,,2033421
James McAtee,6.63,,938502
Sasa Lukic,6.62,,3941709
Pierre-Emile Højbjerg,6.62,,6256681
Bernd Leno,6.62,,8133685
Rodrigo Bentancur,6.62,,4692510
Charlie Taylor,6.62,,1877004
Facundo Buonanotte,6.62,,938502
Michail Antonio,6.61,,5318178
Martin Dubravka,6.61,,2502672
Matt Doherty,6.61,,3128340
Neal Maupay,6.61,,3128340
Joel Ward,6.60,,2189838
Harrison Reed,6.60,,3128340
Curtis Jones,6.60,,938502
Bobby Reid,6.60,,2189838
Zeki Amdouni,6.60,,1877004
Elijah Adebayo,6.59,,782085
Jayden Bogle,6.59,,1251336
Jordan Clark,6.58,,312834
Amari'i Bell,6.58,,Not Found
Mads Roerslev,6.58,,1251336
Tahith Chong,6.57,,1877004
Moussa Niakhaté,6.57,,2815506
Mark Flekken,6.56,,1877004
Nayef Aguerd,6.56,,3128340
Sam Johnstone,6.56,,2502672
Carlos Baleba,6.56,,782085
Andros Townsend,6.55,,1251336
Milos Kerkez,6.54,,1877004
Teden Mengi,6.54,,625668
Kurt Zouma,6.54,,7820851
Bart Verbruggen,6.54,,2189838
Evan Ferguson,6.52,,1877004
Gabriel Osho,6.50,,625668
Cameron Archer,6.49,,1877004
Jacob Brown,6.49,,1877004
Jean-Ricner Bellegarde,6.48,,2189838
Thomas Kaminski,6.47,,1564170
Diego Carlos,6.45,,6256681
Vitinho,6.44,,1564170
Wesley Foderingham,6.44,,Not Found
Ben Osborn,6.43,,1251336
Yegor Yarmolyuk,6.39,,312834
Jack Robinson,6.38,,1564170
Beto,6.35,,3128340
Andre Brooks,6.33,,938502
Adam Lallana,6.29,,5631013
Nicolo Zaniolo,6.26,,Not Found
Auston Trusty,6.25,,1564170
Pelly-Ruddock Mpanzu,6.21,,Not Found
Anel Ahmedhodzic,6.19,,1877004
